I_RMS,P,S,H1,A1,H3,A3,H5,A5,H7,A7,H9,A9,H11,A11,H13,A13,H15,A15
0.010572974,-0.846234865,2.496303237,0.003757532,149.727026,0.001699687,45.29751982,0.001046283,-152.4637999,0.00204515,-39.95169117,0.000544283,-163.7058626,0.000975954,-152.7483422,0.001629276,-3.731996179,0.000635044,-87.60879659
0.011746863,-0.89796491,2.773918891,0.004030459,147.6709543,0.001491677,67.92326122,0.00043499,176.1094212,0.001912952,-2.32797527,0.001224482,-144.8099093,0.000992745,-82.64648419,0.002892287,54.05516861,0.00047845,-125.2616346
0.011261745,-0.810619035,2.659030645,0.004302105,136.1226081,0.000645817,-40.10533161,0.000842265,42.73516424,0.001531824,-74.73800418,0.000777084,-68.65202552,0.000999091,98.96841679,0.00129763,82.59458742,0.001875256,-29.44853544
0.010091144,-0.970644299,2.382829304,0.00468706,142.303026,0.001817883,2.646041527,0.000930764,128.8109331,0.001657302,-35.99032183,0.000950349,35.40493894,0.000917774,174.212456,0.000750294,52.45964157,0.001319707,-18.68100979
0.011834594,-1.086378865,2.794543484,0.005074503,145.2588283,0.00185094,0.337303348,0.001115835,146.6299976,0.001446837,-60.48518178,0.000878859,10.50766373,0.001270457,165.1060337,0.000652478,39.96816045,0.001323949,-67.37682737
0.01158059,-0.894267362,2.73438392,0.005184855,131.0080224,0.000531052,126.1582779,0.001901833,-85.93219595,0.00245204,9.716031981,0.000999779,33.9195311,0.002571346,-163.6761466,0.001894526,4.942729198,0.000388941,14.7382959
0.011436143,-1.081155257,2.700499444,0.004745348,150.346507,0.001750887,21.33409468,0.000496904,-162.9212427,0.001729955,-24.04751061,0.001344344,160.8038898,0.001284186,-128.2781788,0.002146182,49.3734376,0.001606952,-95.92106048
0.010151181,-0.903864874,2.397150188,0.004322878,142.8979033,0.001595463,65.2794001,0.00023831,164.03964,0.001019138,-15.04679878,0.000361304,31.05703166,0.001410517,-177.9795094,0.002395176,22.50185913,0.000433164,-164.2823915
0.011703767,-0.992206296,2.763966889,0.005108817,138.308237,0.000819046,81.46205398,0.001870541,-121.1135991,0.000863036,-3.733375865,0.000418255,-72.37204464,0.000965868,168.5740013,0.001452777,-44.44670963,0.001225946,36.79128565
0.011641036,-0.814400174,2.748813755,0.004746215,130.5620823,0.000905177,95.25447136,0.000708744,-175.6064074,0.002641077,-18.96368808,0.002492345,109.6564761,0.001710268,-112.0016218,0.002470666,46.25933471,0.001084248,-58.61759463
